timestamp,temperatura
2025-12-11 16:40:17,39
2025-12-11 16:40:22,7
2025-12-11 16:40:27,17
2025-12-11 16:40:32,32
2025-12-11 16:40:37,2
2025-12-11 16:40:42,42
2025-12-11 16:40:47,12
2025-12-11 16:40:52,40
2025-12-11 16:40:57,44
2025-12-11 16:41:02,37
2025-12-11 16:41:07,5
2025-12-11 16:41:12,44
2025-12-11 16:41:17,10
2025-12-11 16:41:22,38
2025-12-11 16:41:27,16
2025-12-11 16:41:32,16
2025-12-11 16:41:37,7
2025-12-11 16:41:42,12
2025-12-11 16:41:47,49
2025-12-11 16:41:52,16
2025-12-11 16:41:57,2
2025-12-11 16:42:02,43
2025-12-11 16:42:07,44
2025-12-11 16:42:12,34
2025-12-11 16:42:17,29
2025-12-11 16:42:22,41
2025-12-11 16:42:27,11
2025-12-11 16:42:32,35
2025-12-11 16:42:37,40
2025-12-11 16:42:42,45
2025-12-11 16:42:47,46
2025-12-11 16:42:52,7
2025-12-11 16:42:57,7
2025-12-11 16:43:02,23
2025-12-11 16:43:07,45
2025-12-11 16:43:12,35
2025-12-11 16:43:17,36
2025-12-11 16:43:22,50
2025-12-11 16:43:27,42
2025-12-11 16:43:32,45
2025-12-11 16:43:37,23
2025-12-11 16:43:42,8
2025-12-11 16:43:47,3
2025-12-11 16:43:52,22
2025-12-11 16:43:57,44
2025-12-11 16:44:02,35
2025-12-11 16:44:07,40
2025-12-11 16:44:12,44
2025-12-11 16:44:17,12
2025-12-11 16:44:22,22
2025-12-11 16:44:27,25
2025-12-11 16:44:32,46
2025-12-11 16:44:37,13
2025-12-11 16:44:42,39
2025-12-11 16:44:47,12
2025-12-11 16:44:52,44
2025-12-11 16:44:57,7
2025-12-11 16:45:02,38
2025-12-11 16:45:07,10
2025-12-11 16:45:12,26
2025-12-11 16:45:17,9
2025-12-11 16:45:22,10
2025-12-11 16:45:27,21
2025-12-11 16:45:32,17
2025-12-11 16:45:52,25
2025-12-11 16:45:57,49
2025-12-11 16:46:02,6
2025-12-11 16:46:07,1
2025-12-11 16:46:12,28
2025-12-11 16:46:17,3
2025-12-11 16:46:22,20
2025-12-11 16:46:27,50
2025-12-11 16:46:32,6
2025-12-11 16:46:37,7
2025-12-11 16:46:42,30
2025-12-11 16:46:47,48
2025-12-11 16:46:52,37
2025-12-11 16:46:57,33
2025-12-11 16:47:02,8
2025-12-11 16:47:07,20
2025-12-11 16:47:12,37
2025-12-11 16:47:17,21
2025-12-11 16:47:22,49
2025-12-11 16:47:27,28
2025-12-11 16:47:32,19
2025-12-11 16:47:37,17
2025-12-11 16:47:42,8
2025-12-11 16:47:47,26
2025-12-11 16:47:52,6
2025-12-11 16:47:57,5
2025-12-11 16:48:02,29
2025-12-11 16:48:07,33
2025-12-11 16:48:12,31
2025-12-11 16:48:17,48
2025-12-11 16:48:22,46
2025-12-11 16:48:27,8
2025-12-11 16:48:32,46
2025-12-11 16:48:37,24
2025-12-11 16:48:42,29
2025-12-11 16:48:47,29
2025-12-11 16:48:52,42
2025-12-11 16:48:57,50
2025-12-11 16:49:02,18
2025-12-11 16:49:07,18
2025-12-11 16:49:12,9
2025-12-11 16:49:17,17
2025-12-11 16:49:22,19
2025-12-11 16:49:27,2
2025-12-11 16:49:32,27
2025-12-11 16:49:37,38
2025-12-11 16:49:42,47
2025-12-11 16:49:47,28
2025-12-11 16:49:52,33
2025-12-11 16:49:57,40
2025-12-11 16:50:02,23
2025-12-11 16:50:07,15
