timestamp,temperatura
2025-12-11 16:40:17,20
2025-12-11 16:40:22,21
2025-12-11 16:40:27,22
2025-12-11 16:40:32,23
2025-12-11 16:40:37,24
2025-12-11 16:40:42,25
2025-12-11 16:40:47,26
2025-12-11 16:40:52,27
2025-12-11 16:40:57,28
2025-12-11 16:41:02,29
2025-12-11 16:41:07,30
2025-12-11 16:41:12,31
2025-12-11 16:41:17,30
2025-12-11 16:41:22,29
2025-12-11 16:41:27,28
2025-12-11 16:41:32,27
2025-12-11 16:41:37,26
2025-12-11 16:41:42,25
2025-12-11 16:41:47,24
2025-12-11 16:41:52,23
2025-12-11 16:41:57,22
2025-12-11 16:42:02,21
2025-12-11 16:42:07,20

