timestamp,temperatura
2025-12-11 16:40:17,20
2025-12-11 16:40:22,20
2025-12-11 16:40:27,21
2025-12-11 16:40:32,22
2025-12-11 16:40:37,20
2025-12-11 16:40:42,22
2025-12-11 16:40:47,22
2025-12-11 16:40:52,20
2025-12-11 16:40:57,24
2025-12-11 16:41:02,50
2025-12-11 16:41:07,20
2025-12-11 16:41:12,22
2025-12-11 16:41:17,25
2025-12-11 16:41:22,23
2025-12-11 16:41:27,21
2025-12-11 16:41:32,20
2025-12-11 16:41:37,20
2025-12-11 16:41:42,23
2025-12-11 16:41:47,50
2025-12-11 16:41:52,23
2025-12-11 16:41:57,22
2025-12-11 16:42:02,24
2025-12-11 16:42:07,20
2025-12-11 16:42:12,21
2025-12-11 16:42:17,23
2025-12-11 16:42:22,22
